SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SiteAddress
冬山河橋,Dongshan River Bridge,宜蘭縣,冬山鄉,冬山河流域,冬山河,121.7868900,24.6391630,329660.75,2726039.63,宜蘭縣冬山路二段149號
加禮遠橋,Jialiwen Bridge,宜蘭縣,五結鄉,冬山河流域,冬山河,121.8248530,24.6917960,333469.08,2731892.01,宜蘭縣五結鄉濱海公路
北山橋,Beisan Bridge,南投縣,國姓鄉,烏溪流域,烏溪,120.8715290,23.9830040,236927.47,2653146.88,南投縣國姓鄉中正路四段210-1號
北勢大橋,Peishih Bridge,苗栗縣,後龍鎮,後龍溪流域,後龍溪,120.8255630,24.5948970,232335.00,2720920.00,苗栗縣後龍鎮北勢村台13甲公路11km處
北勢橋,Peishih Bridge,桃園縣,平鎮市,老街溪流域,老街溪,121.2124420,24.9248290,271456.96,2757468.36,桃園縣平鎮市北勢村113號公路國產實業附近
古亭橋,Gootin Bridge,高雄市,田寮區,二仁溪流域,二仁溪,120.3963350,22.8880180,188065.18,2532010.04,高雄市田寮區月球路(台28線9公里處)
台15線鳳山溪橋,Fonggonda Bridge,新竹縣,竹北市,鳳山溪流域,鳳山溪,120.9497546,24.8589166,244938.38,2750167.38,新竹縣竹北市鳳崗路三段與五段交接處
台1線鳳山溪橋,Fongshan River Bridge,新竹縣,竹北市,鳳山溪流域,鳳山溪,121.0048020,24.8525760,250485.27,2749448.79,新竹縣竹北市台1號省道
台東大橋,Taitungda Bridge,台東縣,臺東市,卑南溪流域,卑南溪,121.1444750,22.7922330,264833.01,2521284.02,台東市台11乙線5公里處
四十號橋,No. 40 Bridge,新北市,金山區,磺溪流域,磺溪,121.6307600,25.2273300,313552.16,2791106.59,新北市金山區北22線(三界鹽路)與中山路交會口
平安大橋,Pinanda Bridge,苗栗縣,三灣鄉,中港溪流域,中港溪,120.9492130,24.6758870,244860.17,2729879.92,苗栗縣三灣鄉內灣村台3號公路92km處
平林橋,Pinlin Bridge,南投縣,草屯鎮,烏溪流域,烏溪,120.6574540,23.9523980,215135.90,2649793.67,南投縣草屯鎮草溪路9-1號旁
平鎮第一號橋,Pingjhen 1st Bridge,桃園縣,平鎮市,老街溪流域,老街溪,121.1961610,24.9209930,269813.15,2757040.94,桃園縣平鎮市平鎮村113號公路與桃72線(南平路)交會口附近
民權大橋,Minchenda Bridge,台北市,內湖區,淡水河流域,基隆河,121.5695160,25.0634670,307458.01,2772928.31,台北市松山區民權東路底與內湖交界處
永寧一號橋,Yunin no. 1 Bridge,桃園縣,楊梅鎮,社子溪流域,社子溪,121.1516230,24.9031130,265316.88,2755054.78,桃園縣楊梅鎮永寧里校前路旁
永寧橋,Yunnin Bridge,台南市,仁德區,二仁溪流域,二仁溪,120.1943570,22.9251920,167364.27,2536225.74,台南市仁德區中正西路(南市12線)
永樂里,Yunlali,宜蘭縣,蘇澳鎮,蘇澳溪流域,蘇澳溪,121.8445590,24.5737170,335543.68,2718825.29,宜蘭縣蘇澳鎮永樂里成功路永樂國小附近
永興橋,Yongsing Bridge,苗栗縣,南庄鄉,中港溪流域,中港溪,121.0058100,24.6175280,250586.64,2723414.26,苗栗縣南庄鄉田美村124線25.2km處
