SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,大腸桿菌群,"Coliform Group",Coliform,350,CFU/100mL
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,103.4,%
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,氯鹽,Chloride,Cl,-,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,氨氮,NH3-N,NH3-N,<0.01,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,化學需氧量,"Chemical Oxygen Demand",COD,17.3,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,溶氧(電極法),"Dissolved Oxygen",DO,8.7,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,懸浮固體,"Suspended Solid",SS,2580,mg/L
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,氣溫,Temperature,TMP,32.9,℃
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,導電度,Conductivity,EC,335,μmho/cm25℃
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,酸鹼值,pH,pH,8.0,
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,水溫,"Water Temperature",WT,23.5,℃
錦文橋,"Geinwun Bridge",花蓮縣,秀林鄉,立霧溪流域,立霧溪,121.6217480,24.1563480,313181.82,2672478.67,2013-10-01,河川污染分類指標,"River Pollution Index",RPI,3.25,
