SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,大腸桿菌群,"Coliform Group",Coliform,35000,CFU/100mL
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,87.9,%
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,氯鹽,Chloride,Cl,-,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,氨氮,NH3-N,NH3-N,1.44,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,化學需氧量,"Chemical Oxygen Demand",COD,15.9,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,生化需氧量,"Biochemical Oxygen Demand",BOD5,3.2,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,溶氧(電極法),"Dissolved Oxygen",DO,6.6,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,懸浮固體,"Suspended Solid",SS,10.9,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,氣溫,Temperature,TMP,31.9,℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,導電度,Conductivity,EC,320,μmho/cm25℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,酸鹼值,pH,pH,7.4,
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,水溫,"Water Temperature",WT,29.8,℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-09-16,河川污染分類指標,"River Pollution Index",RPI,2.75,
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,大腸桿菌群,"Coliform Group",Coliform,73000,CFU/100mL
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,70.2,%
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,氯鹽,Chloride,Cl,-,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,氨氮,NH3-N,NH3-N,2.21,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,化學需氧量,"Chemical Oxygen Demand",COD,16.4,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,生化需氧量,"Biochemical Oxygen Demand",BOD5,4.5,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,溶氧(電極法),"Dissolved Oxygen",DO,5.3,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,懸浮固體,"Suspended Solid",SS,7.3,mg/L
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,氣溫,Temperature,TMP,32.6,℃
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,導電度,Conductivity,EC,309,μmho/cm25℃
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,酸鹼值,pH,pH,7.3,
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,水溫,"Water Temperature",WT,28.8,℃
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-09-16,河川污染分類指標,"River Pollution Index",RPI,3.25,
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,大腸桿菌群,"Coliform Group",Coliform,65000,CFU/100mL
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,94.3,%
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,氯鹽,Chloride,Cl,-,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,氨氮,NH3-N,NH3-N,0.83,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,化學需氧量,"Chemical Oxygen Demand",COD,13.9,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,生化需氧量,"Biochemical Oxygen Demand",BOD5,3.4,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,溶氧(電極法),"Dissolved Oxygen",DO,7.2,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,懸浮固體,"Suspended Solid",SS,5.3,mg/L
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,氣溫,Temperature,TMP,30.5,℃
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,導電度,Conductivity,EC,285,μmho/cm25℃
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,酸鹼值,pH,pH,7.4,
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,水溫,"Water Temperature",WT,28.8,℃
暖江橋,"Nungen Bridge",基隆市,暖暖區,淡水河流域,基隆河,121.7416290,25.1028360,324799.01,2777373.38,2013-09-16,河川污染分類指標,"River Pollution Index",RPI,2.00,
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,大腸桿菌群,"Coliform Group",Coliform,89000,CFU/100mL
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,33.1,%
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,氯鹽,Chloride,Cl,557,mg/L
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,氨氮,NH3-N,NH3-N,2.70,mg/L
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,化學需氧量,"Chemical Oxygen Demand",COD,11.3,mg/L
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,生化需氧量,"Biochemical Oxygen Demand",BOD5,4.0,mg/L
東港大橋,"Donggangda Bridge",屏東縣,東港鎮,東港溪流域,東港溪,120.4596350,22.4777170,194394.47,2486551.32,2013-09-16,溶氧(電極法),"Dissolved Oxygen",DO,2.5,mg/L
