SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,大腸桿菌群,"Coliform Group",Coliform,-,CFU/100mL
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,氯鹽,Chloride,Cl,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,氨氮,NH3-N,NH3-N,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,生化需氧量,"Biochemical Oxygen Demand",BOD5,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,懸浮固體,"Suspended Solid",SS,-,mg/L
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,氣溫,Temperature,TMP,-,℃
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,導電度,Conductivity,EC,-,μmho/cm25℃
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,酸鹼值,pH,pH,-,
楓港溪橋,"Fongang Bridge",屏東縣,枋山鄉,楓港溪流域,楓港溪,120.6911680,22.1958610,218156.34,2455275.36,2013-09-21,水溫,"Water Temperature",WT,-,℃
