SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,大腸桿菌群,"Coliform Group",Coliform,66000,CFU/100mL
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,86.3,%
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,氯鹽,Chloride,Cl,-,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,氨氮,NH3-N,NH3-N,0.32,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,化學需氧量,"Chemical Oxygen Demand",COD,19.1,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,生化需氧量,"Biochemical Oxygen Demand",BOD5,3.9,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,溶氧(電極法),"Dissolved Oxygen",DO,7.1,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,懸浮固體,"Suspended Solid",SS,23.4,mg/L
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,氣溫,Temperature,TMP,25.7,℃
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,導電度,Conductivity,EC,638,μmho/cm25℃
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,酸鹼值,pH,pH,8.0,
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,水溫,"Water Temperature",WT,25.2,℃
軍輝橋,"Jyunhui Bridge",嘉義市,,八掌溪流域,八掌溪,120.4581350000,23.4585540000,,,2013-05-03,河川污染分類指標,"River Pollution Index",RPI,2.00,
牛稠溪橋,"Neochoci Bridge",嘉義市,,朴子溪流域,朴子溪,120.4434030000,23.5137640000,,,2013-05-03,大腸桿菌群,"Coliform Group",Coliform,71000,CFU/100mL
牛稠溪橋,"Neochoci Bridge",嘉義市,,朴子溪流域,朴子溪,120.4434030000,23.5137640000,,,2013-05-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,66.7,%
牛稠溪橋,"Neochoci Bridge",嘉義市,,朴子溪流域,朴子溪,120.4434030000,23.5137640000,,,2013-05-03,氯鹽,Chloride,Cl,-,mg/L
牛稠溪橋,"Neochoci Bridge",嘉義市,,朴子溪流域,朴子溪,120.4434030000,23.5137640000,,,2013-05-03,氨氮,NH3-N,NH3-N,2.02,mg/L
