SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,大腸桿菌群,"Coliform Group",Coliform,24000,CFU/100mL
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,84.9,%
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,氯鹽,Chloride,Cl,-,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,氨氮,NH3-N,NH3-N,0.39,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,化學需氧量,"Chemical Oxygen Demand",COD,9.5,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.0,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,溶氧(電極法),"Dissolved Oxygen",DO,6.4,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,懸浮固體,"Suspended Solid",SS,43.6,mg/L
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,氣溫,Temperature,TMP,32.6,℃
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,導電度,Conductivity,EC,516,μmho/cm25℃
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,酸鹼值,pH,pH,8.0,
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,水溫,"Water Temperature",WT,30.2,℃
新灣橋,"Sinwun Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2822020,23.0209390,176426.86,2546782.07,2013-08-03,河川污染分類指標,"River Pollution Index",RPI,2.00,
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,大腸桿菌群,"Coliform Group",Coliform,830000,CFU/100mL
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,3.1,%
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,氯鹽,Chloride,Cl,7640,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,氨氮,NH3-N,NH3-N,13.0,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,化學需氧量,"Chemical Oxygen Demand",COD,33.7,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,生化需氧量,"Biochemical Oxygen Demand",BOD5,6.0,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,溶氧(電極法),"Dissolved Oxygen",DO,0.2,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,懸浮固體,"Suspended Solid",SS,12.3,mg/L
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,氣溫,Temperature,TMP,32.3,℃
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,導電度,Conductivity,EC,23000,μmho/cm25℃
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,酸鹼值,pH,pH,7.5,
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,水溫,"Water Temperature",WT,32.0,℃
鹽水溪橋,"Yanshuei River Bridge",台南市,安南區,鹽水溪流域,鹽水溪,120.1924680,23.0197730,167228.20,2546700.79,2013-08-03,河川污染分類指標,"River Pollution Index",RPI,6.75,
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,大腸桿菌群,"Coliform Group",Coliform,-,CFU/100mL
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,氯鹽,Chloride,Cl,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,氨氮,NH3-N,NH3-N,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,生化需氧量,"Biochemical Oxygen Demand",BOD5,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,懸浮固體,"Suspended Solid",SS,-,mg/L
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,氣溫,Temperature,TMP,-,℃
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,導電度,Conductivity,EC,-,μmho/cm25℃
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,酸鹼值,pH,pH,-,
太平橋,"Taiping Bridge",台南市,永康區,鹽水溪流域,鹽水溪,120.2155460,23.0249910,169596.89,2547265.77,2013-08-03,水溫,"Water Temperature",WT,-,℃
豐化橋,"Fonhua Bridge",台南市,新市區,鹽水溪流域,鹽水溪,120.2777770,23.0590840,175994.13,2551008.42,2013-08-03,大腸桿菌群,"Coliform Group",Coliform,4300000,CFU/100mL
豐化橋,"Fonhua Bridge",台南市,新市區,鹽水溪流域,鹽水溪,120.2777770,23.0590840,175994.13,2551008.42,2013-08-03,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,48.3,%
豐化橋,"Fonhua Bridge",台南市,新市區,鹽水溪流域,鹽水溪,120.2777770,23.0590840,175994.13,2551008.42,2013-08-03,氯鹽,Chloride,Cl,-,mg/L
