SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,大腸桿菌群,"Coliform Group",Coliform,3000,CFU/100mL
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,125.7,%
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,氯鹽,Chloride,Cl,-,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,氨氮,NH3-N,NH3-N,0.09,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.1,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,溶氧(電極法),"Dissolved Oxygen",DO,9.9,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,懸浮固體,"Suspended Solid",SS,8.7,mg/L
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,氣溫,Temperature,TMP,25.4,℃
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,導電度,Conductivity,EC,387,μmho/cm25℃
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,酸鹼值,pH,pH,8.7,
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,水溫,"Water Temperature",WT,25.3,℃
文峰橋,"Wenfon Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8304950,24.3124670,232796.13,2689639.15,2013-10-21,河川污染分類指標,"River Pollution Index",RPI,1.00,
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,大腸桿菌群,"Coliform Group",Coliform,6500,CFU/100mL
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,124.8,%
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,氯鹽,Chloride,Cl,-,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,氨氮,NH3-N,NH3-N,0.04,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.0,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,溶氧(電極法),"Dissolved Oxygen",DO,9.8,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,懸浮固體,"Suspended Solid",SS,6.8,mg/L
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,氣溫,Temperature,TMP,25.6,℃
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,導電度,Conductivity,EC,404,μmho/cm25℃
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,酸鹼值,pH,pH,8.5,
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,水溫,"Water Temperature",WT,25.1,℃
協成橋,"Ciechen Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8359370,24.3081520,233347.97,2689160.62,2013-10-21,河川污染分類指標,"River Pollution Index",RPI,1.00,
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,大腸桿菌群,"Coliform Group",Coliform,2400,CFU/100mL
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,103.2,%
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,氯鹽,Chloride,Cl,-,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,氨氮,NH3-N,NH3-N,0.01,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,溶氧(電極法),"Dissolved Oxygen",DO,9.0,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,懸浮固體,"Suspended Solid",SS,18.4,mg/L
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,氣溫,Temperature,TMP,24.5,℃
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,導電度,Conductivity,EC,464,μmho/cm25℃
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,酸鹼值,pH,pH,8.3,
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,水溫,"Water Temperature",WT,21.2,℃
義里大橋,"Yilida Bridge",苗栗縣,三義鄉,大安溪流域,大安溪,120.7365410,24.3569940,223269.68,2694585.47,2013-10-21,河川污染分類指標,"River Pollution Index",RPI,1.00,
卓蘭大橋(原名為蘭勢橋),"Lanshih Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8183930,24.3083860,231567.31,2689188.69,2013-10-21,大腸桿菌群,"Coliform Group",Coliform,4100,CFU/100mL
卓蘭大橋(原名為蘭勢橋),"Lanshih Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8183930,24.3083860,231567.31,2689188.69,2013-10-21,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,103.4,%
卓蘭大橋(原名為蘭勢橋),"Lanshih Bridge",苗栗縣,卓蘭鎮,大安溪流域,大安溪,120.8183930,24.3083860,231567.31,2689188.69,2013-10-21,氯鹽,Chloride,Cl,-,mg/L
