SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,大腸桿菌群,"Coliform Group",Coliform,2600000,CFU/100mL
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,56.4,%
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,氯鹽,Chloride,Cl,-,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,氨氮,NH3-N,NH3-N,5.40,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,化學需氧量,"Chemical Oxygen Demand",COD,26.4,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,生化需氧量,"Biochemical Oxygen Demand",BOD5,9.5,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,溶氧(電極法),"Dissolved Oxygen",DO,4.2,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,懸浮固體,"Suspended Solid",SS,16.2,mg/L
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,氣溫,Temperature,TMP,32.2,℃
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,導電度,Conductivity,EC,672,μmho/cm25℃
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,酸鹼值,pH,pH,7.6,
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,水溫,"Water Temperature",WT,30.8,℃
和平橋,"Heping Bridge",嘉義縣,,北港溪流域,三疊溪,120.3985110000,23.6084750000,,,2013-05-09,河川污染分類指標,"River Pollution Index",RPI,5.75,
梅南橋,"Meinan Bridge",雲林縣,,北港溪流域,北港溪(雲),120.5999980000,23.7005870000,,,2013-05-09,大腸桿菌群,"Coliform Group",Coliform,-,CFU/100mL
