SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,大腸桿菌群,"Coliform Group",Coliform,700,CFU/100mL
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,85.7,%
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,氯鹽,Chloride,Cl,-,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,氨氮,NH3-N,NH3-N,<0.01,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,溶氧(電極法),"Dissolved Oxygen",DO,6.7,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,懸浮固體,"Suspended Solid",SS,<1.0,mg/L
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,氣溫,Temperature,TMP,33.4,℃
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,導電度,Conductivity,EC,623,μmho/cm25℃
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,酸鹼值,pH,pH,7.9,
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,水溫,"Water Temperature",WT,27.8,℃
隘寮堰,"AiLio Weir",屏東縣,,高屏溪流域,高屏溪,120.6581360000,22.7060210000,,,2013-05-10,河川污染分類指標,"River Pollution Index",RPI,1.00,
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,大腸桿菌群,"Coliform Group",Coliform,3500,CFU/100mL
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,98.1,%
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,氯鹽,Chloride,Cl,-,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,氨氮,NH3-N,NH3-N,0.03,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,化學需氧量,"Chemical Oxygen Demand",COD,30.8,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,溶氧(電極法),"Dissolved Oxygen",DO,7.6,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,懸浮固體,"Suspended Solid",SS,1990,mg/L
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,氣溫,Temperature,TMP,32.2,℃
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,導電度,Conductivity,EC,542,μmho/cm25℃
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,酸鹼值,pH,pH,8.1,
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,水溫,"Water Temperature",WT,28.6,℃
南華大橋,"Nanhuada Bridge",屏東縣,,高屏溪流域,高屏溪,120.5896730000,22.7703160000,,,2013-05-10,河川污染分類指標,"River Pollution Index",RPI,3.25,
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,大腸桿菌群,"Coliform Group",Coliform,360000,CFU/100mL
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,30.4,%
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,氯鹽,Chloride,Cl,-,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,氨氮,NH3-N,NH3-N,9.75,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,化學需氧量,"Chemical Oxygen Demand",COD,57.9,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,生化需氧量,"Biochemical Oxygen Demand",BOD5,13.2,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,溶氧(電極法),"Dissolved Oxygen",DO,2.3,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,懸浮固體,"Suspended Solid",SS,105,mg/L
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,氣溫,Temperature,TMP,33.5,℃
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,導電度,Conductivity,EC,699,μmho/cm25℃
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,酸鹼值,pH,pH,7.6,
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,水溫,"Water Temperature",WT,29.1,℃
九如橋,"Jiouru Bridge",屏東縣,,高屏溪流域,高屏溪,120.4887560000,22.7247530000,,,2013-05-10,河川污染分類指標,"River Pollution Index",RPI,8.00,
昌農橋,"Beinoon Brideg",屏東縣,,高屏溪流域,高屏溪,120.4580290000,22.6302780000,,,2013-05-10,大腸桿菌群,"Coliform Group",Coliform,1600000,CFU/100mL
昌農橋,"Beinoon Brideg",屏東縣,,高屏溪流域,高屏溪,120.4580290000,22.6302780000,,,2013-05-10,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,127.8,%
昌農橋,"Beinoon Brideg",屏東縣,,高屏溪流域,高屏溪,120.4580290000,22.6302780000,,,2013-05-10,氯鹽,Chloride,Cl,-,mg/L
昌農橋,"Beinoon Brideg",屏東縣,,高屏溪流域,高屏溪,120.4580290000,22.6302780000,,,2013-05-10,氨氮,NH3-N,NH3-N,15.1,mg/L
昌農橋,"Beinoon Brideg",屏東縣,,高屏溪流域,高屏溪,120.4580290000,22.6302780000,,,2013-05-10,化學需氧量,"Chemical Oxygen Demand",COD,151,mg/L
