SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,汞,Mercury,Hg,<0.0003,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,六價鉻,"Hexavalent Chromium","Cr 6+",<0.002,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,銀,Silver,Ag,<0.001,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,鎘,Cadmium,Cd,<0.001,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,砷,Arsenic,As,0.0076,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,鉛,Lead,Pb,<0.003,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,銅,Copper,Cu,0.002,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,鋅,Zinc,Zn,0.012,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,錳,Manganese,Mn,0.083,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,總磷,Total-Phosphate,TP,0.128,mg/L
高速鐵路橋下游便橋,"High Speed Rail Bridge",高雄市,,阿公店溪流域,阿公店溪,120.3282200000,22.8038890000,,,2013-06-08,硝酸鹽氮,Nitrate-Nitrogen,NO3-N,0.35,mg/L
阿公店出水口,"Agongdian Reservoir Intake",高雄市,,阿公店溪流域,阿公店溪,120.3453290000,22.8115060000,,,2013-06-08,汞,Mercury,Hg,-,mg/L
阿公店出水口,"Agongdian Reservoir Intake",高雄市,,阿公店溪流域,阿公店溪,120.3453290000,22.8115060000,,,2013-06-08,六價鉻,"Hexavalent Chromium","Cr 6+",-,mg/L
阿公店出水口,"Agongdian Reservoir Intake",高雄市,,阿公店溪流域,阿公店溪,120.3453290000,22.8115060000,,,2013-06-08,銀,Silver,Ag,-,mg/L
