SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,大腸桿菌群,"Coliform Group",Coliform,11000,CFU/100mL
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,99.1,%
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,氯鹽,Chloride,Cl,-,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,氨氮,NH3-N,NH3-N,0.04,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,化學需氧量,"Chemical Oxygen Demand",COD,50.9,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,溶氧(電極法),"Dissolved Oxygen",DO,7.6,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,懸浮固體,"Suspended Solid",SS,2260,mg/L
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,氣溫,Temperature,TMP,33.7,℃
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,導電度,Conductivity,EC,392,μmho/cm25℃
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,酸鹼值,pH,pH,8.2,
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,水溫,"Water Temperature",WT,28.9,℃
豐源大橋,"Fongyuanda Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0951980,22.7234660,259778.74,2513665.37,2013-10-07,河川污染分類指標,"River Pollution Index",RPI,3.25,
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,大腸桿菌群,"Coliform Group",Coliform,550,CFU/100mL
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,102.3,%
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,氯鹽,Chloride,Cl,-,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,氨氮,NH3-N,NH3-N,<0.01,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,化學需氧量,"Chemical Oxygen Demand",COD,8.7,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,<1.0,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,溶氧(電極法),"Dissolved Oxygen",DO,8.0,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,懸浮固體,"Suspended Solid",SS,433,mg/L
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,氣溫,Temperature,TMP,33.9,℃
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,導電度,Conductivity,EC,346,μmho/cm25℃
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,酸鹼值,pH,pH,8.2,
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,水溫,"Water Temperature",WT,26.5,℃
新園橋(原為大南橋),"Danan Bridge",台東縣,臺東市,利嘉溪流域,利嘉溪,121.0492250,22.7607920,255055.03,2517796.13,2013-10-07,河川污染分類指標,"River Pollution Index",RPI,3.25,
