SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,大腸桿菌群,"Coliform Group",Coliform,1900,CFU/100mL
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,111.9,%
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,氯鹽,Chloride,Cl,-,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,氨氮,NH3-N,NH3-N,0.02,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,化學需氧量,"Chemical Oxygen Demand",COD,<4.0,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.2,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,溶氧(電極法),"Dissolved Oxygen",DO,9.0,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,懸浮固體,"Suspended Solid",SS,3.5,mg/L
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,氣溫,Temperature,TMP,27.8,℃
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,導電度,Conductivity,EC,182,μmho/cm25℃
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,酸鹼值,pH,pH,7.5,
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,水溫,"Water Temperature",WT,25.1,℃
竹盛大橋,"Jhushenda Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7778480000,24.4495100000,,,2013-05-08,河川污染分類指標,"River Pollution Index",RPI,1.00,
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,大腸桿菌群,"Coliform Group",Coliform,4500,CFU/100mL
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,115.5,%
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,氯鹽,Chloride,Cl,-,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,氨氮,NH3-N,NH3-N,0.03,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,化學需氧量,"Chemical Oxygen Demand",COD,7.4,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.7,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,溶氧(電極法),"Dissolved Oxygen",DO,8.7,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,懸浮固體,"Suspended Solid",SS,8.6,mg/L
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,氣溫,Temperature,TMP,29.6,℃
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,導電度,Conductivity,EC,346,μmho/cm25℃
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,酸鹼值,pH,pH,8.5,
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,水溫,"Water Temperature",WT,29.5,℃
西湖橋(原名四湖橋),"Sihhu Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7526010000,24.5632680000,,,2013-05-08,河川污染分類指標,"River Pollution Index",RPI,1.00,
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,大腸桿菌群,"Coliform Group",Coliform,190,CFU/100mL
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,120.1,%
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,氯鹽,Chloride,Cl,-,mg/L
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,氨氮,NH3-N,NH3-N,0.03,mg/L
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,化學需氧量,"Chemical Oxygen Demand",COD,5.0,mg/L
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.3,mg/L
龍壽橋,"Longsho Bridge",苗栗縣,,西湖溪流域,西湖溪,120.7478720000,24.5333390000,,,2013-05-08,溶氧(電極法),"Dissolved Oxygen",DO,9.2,mg/L
