SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,大腸桿菌群,"Coliform Group",Coliform,4300,CFU/100mL
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,104.2,%
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,氯鹽,Chloride,Cl,-,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,氨氮,NH3-N,NH3-N,0.02,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,化學需氧量,"Chemical Oxygen Demand",COD,15.9,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,生化需氧量,"Biochemical Oxygen Demand",BOD5,2.3,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,溶氧(電極法),"Dissolved Oxygen",DO,8.1,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,懸浮固體,"Suspended Solid",SS,6.4,mg/L
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,氣溫,Temperature,TMP,29.0,℃
深坑橋,"Shenkeng Bridge",新竹縣,新豐鄉,福興溪流域,福興溪,121.0027160,24.9399010,250274.33,2759120.92,2013-09-02,導電度,Conductivity,EC,283,μmho/cm25℃
