SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,大腸桿菌群,"Coliform Group",Coliform,100000,CFU/100mL
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,82.4,%
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,氯鹽,Chloride,Cl,11.4,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,氨氮,NH3-N,NH3-N,0.49,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,化學需氧量,"Chemical Oxygen Demand",COD,37.5,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,生化需氧量,"Biochemical Oxygen Demand",BOD5,1.8,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,溶氧(電極法),"Dissolved Oxygen",DO,7.0,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,懸浮固體,"Suspended Solid",SS,1010,mg/L
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,氣溫,Temperature,TMP,25.5,℃
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,導電度,Conductivity,EC,449,μmho/cm25℃
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,酸鹼值,pH,pH,7.4,
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,水溫,"Water Temperature",WT,23.6,℃
海豐橋,"Hifon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.2457240000,23.7403990000,,,2013-05-02,河川污染分類指標,"River Pollution Index",RPI,3.25,
豐橋,"Fon Bridge",雲林縣,,新虎尾溪流域,新虎尾溪,120.3473490000,23.7420460000,,,2013-05-02,大腸桿菌群,"Coliform Group",Coliform,77000,CFU/100mL
