SiteName,SiteEngName,County,Township,Basin,River,TWD97Lon,TWD97Lat,TWD97TM2X,TWD97TM2Y,SampleDate,ItemName,ItemEngName,ItemEngAbbreviation,ItemValue,ItemUnit
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,大腸桿菌群,"Coliform Group",Coliform,61000,CFU/100mL
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,147.3,%
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,氯鹽,Chloride,Cl,-,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,氨氮,NH3-N,NH3-N,4.25,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,化學需氧量,"Chemical Oxygen Demand",COD,35.4,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,生化需氧量,"Biochemical Oxygen Demand",BOD5,9.2,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,溶氧(電極法),"Dissolved Oxygen",DO,10.5,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,懸浮固體,"Suspended Solid",SS,15.6,mg/L
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,氣溫,Temperature,TMP,35.5,℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,導電度,Conductivity,EC,485,μmho/cm25℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,酸鹼值,pH,pH,8.5,
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,水溫,"Water Temperature",WT,33.3,℃
實踐橋,"Shihgein Bridge",基隆市,七堵區,淡水河流域,基隆河,121.6933320,25.0787810,319941.37,2774682.89,2013-08-07,河川污染分類指標,"River Pollution Index",RPI,4.50,
六合橋,"Liuho Bridge",基隆市,七堵區,淡水河流域,基隆河,121.7037590,25.0947710,320984.04,2776459.52,2013-08-07,大腸桿菌群,"Coliform Group",Coliform,56000,CFU/100mL
